"month","light_bin","mean_valence","mean_arousal","n"
1,"High",5.81225129249285,3.93309975084005,20
2,"High",5.80164102564103,3.93249572649573,117
3,"Medium",5.86912643678161,3.96673563218391,174
4,"High",5.85688553902318,3.98206016742674,2
4,"Low",5.87816979284776,3.9697093494169,12
4,"Medium",5.87647957282091,3.94735177690837,6
5,"High",5.8656120239806,3.96219088063971,6
5,"Low",5.86793054666417,3.96685122462783,11
5,"Medium",5.87060246407179,3.97269275361839,3
6,"High",5.87365858841885,3.97204432561185,3
6,"Low",5.8715868227286,3.97904377429739,12
6,"Medium",5.8765189390681,3.97216363374623,5
7,"High",5.86721026430748,3.96898809656498,6
7,"Low",5.86112043382808,3.96909183773684,8
7,"Medium",5.86849854755037,3.96420663355581,6
8,"High",5.86328407091832,3.96179057144906,1
8,"Low",5.87747855967845,3.96579929545522,10
8,"Medium",5.86532720712438,3.9947906262752,9
9,"High",5.84047380792066,3.96983450828542,4
9,"Low",5.86709011522307,3.97065693860878,14
9,"Medium",5.87021983648644,3.96190828500327,2
10,"High",5.86869318628911,3.95996891875707,4
10,"Low",5.87360574708274,3.96822893198943,10
10,"Medium",5.85868943968559,3.95297969539612,6
11,"High",5.85963596477908,3.96756521383762,2
11,"Low",5.86648175301414,3.97243747166171,15
11,"Medium",5.8710543907841,3.95707098703881,3
12,"High",5.86793886678407,3.96275196853815,2
12,"Low",5.86513400098659,3.97200659776326,11
12,"Medium",5.85935599050479,3.96131153377353,7
