"date","country_code","admin1","city","gender","type","impact","mood","theme","perspective","recurring","lucidity","keywords","sentiment_neg","sentiment_neu","sentiment_pos","valence_mean","arousal_mean","dominance_mean","emotions_top3","year","month","mean_rad","max_rad","sum_rad","data_type","year_month"
2025-01-02,"CA","ON","Mississauga","Woman","standard","low","happiness","being silly","1st person","no","none","park, nighttime, swinging, laughing, fun",0.331973637244912,0.516192039963105,0.159935520053701,5.84644755332082,3.90711143850681,5.55104414394055,"confusion:0.22374849145611128, amusement:0.1827544279706975, curiosity:0.05774244045217832",2025,1,44.621985,285.519989,72063.10586,"synthetic",2025-01-01
2025-01-03,"CA","ON","Mississauga",NA,"standard","moderate","nostalgia","being at a location from the past","1st person","no","none","childhood, uncanny",0.295591073114877,0.527393504844905,0.12540877186303,5.76336567233753,3.94369659284538,5.61523707103054,"realization:0.09032167432208855, surprise:0.0857677087187767, excitement:0.07477865476782124",2025,1,44.621985,285.519989,72063.10586,"synthetic",2025-01-01
2025-01-04,"CA","ON","Mississauga",NA,"standard","moderate","amusement","seeing or meeting a famous person","1st person","no","none","malls, registrar, hozier, school, pinkpantheress",0.289399164256762,0.506967001752606,0.178842534879457,5.80132395691442,3.90475344622214,5.56648287923527,"confusion:0.10639194606078996, excitement:0.06787404221379095, annoyance:0.06586511805653572",2025,1,44.621985,285.519989,72063.10586,"synthetic",2025-01-01
2025-01-05,"CA","ON","Mississauga","Woman","negative","high","fear","drowning or being about to drown","1st person","no","partial","cruise, weather, ocean, screaming",0.320994954920533,0.518205765231565,0.176917021203412,5.80000209137401,3.9508728462108,5.56645946602022,"excitement:0.0728314445198824, realization:0.07105000286052625, curiosity:0.0650637480430305",2025,1,44.621985,285.519989,72063.10586,"synthetic",2025-01-01
2025-01-05,"CA","ON","Mississauga","Woman","negative","low","defeated","unsatisfying or negative social situation","1st person","no","partial","library, friend, books, birthday, gift",0.278157539135104,0.495724453088852,0.196120733388314,5.83223211106524,3.92995945462613,5.55815124142507,"disappointment:0.18226080061867833, desire:0.07006400497630239, sadness:0.059934506425634027",2025,1,44.621985,285.519989,72063.10586,"synthetic",2025-01-01
2025-01-07,"CA","ON","Mississauga","Woman","standard","high","confusion","being or feeling out of place","1st person","no","total","ex, boyfriend, staring, uncomfortable, confused",0.305558764623505,0.528928099778857,0.171668114176156,5.80882422954075,3.91404438576718,5.59894151718189,"confusion:0.23622907139360905, nervousness:0.0645779853221029, remorse:0.0613240348175168",2025,1,44.621985,285.519989,72063.10586,"synthetic",2025-01-01
2025-01-10,"CA","ON","Mississauga","Woman","standard","moderate","annoyance","being or feeling out of place","1st person","no","partial",NA,0.315004282595909,0.530752708571513,0.141665701206658,5.84211673908363,3.9467992611327,5.57898436362121,"annoyance:0.07957094348967075, disapproval:0.07504764944314957, confusion:0.07232610695064068",2025,1,44.621985,285.519989,72063.10586,"synthetic",2025-01-01
2025-01-10,"CA","ON","Mississauga",NA,"existential","low","awe","seeing a flying object crash","1st person","content","none","city, kites, airship, canadian, crashed",0.290497119984649,0.53101109766236,0.140482326501727,5.79407059079602,3.94901164391603,5.56646400423495,"curiosity:0.08656343010564645, caring:0.06879347361003359, excitement:0.06827066322633375",2025,1,44.621985,285.519989,72063.10586,"synthetic",2025-01-01
2025-01-14,"CA","ON","Mississauga",NA,"standard","low","curiosity","finding something","3rd person","no","none","rock, wind, beach",0.354226123520559,0.518280612498805,0.132518057459444,5.80643371610683,3.92254229081308,5.5691012163535,"confusion:0.1452470662072301, curiosity:0.11627249829471112, realization:0.09018384646624326",2025,1,44.621985,285.519989,72063.10586,"synthetic",2025-01-01
2025-01-15,"CA","ON","Mississauga","Woman","standard","low","adventurous","discovering new or hidden location(s)","1st person","no","none","wandered, bookshelves, maze",0.307746226802539,0.534338513805566,0.180042629247992,5.80763322403734,3.89527560603039,5.56603845366753,"curiosity:0.1452805424729983, confusion:0.13506362214684486, annoyance:0.07271601508061092",2025,1,44.621985,285.519989,72063.10586,"synthetic",2025-01-01
2025-01-17,"CA","ON","Mississauga",NA,"standard","low","pride","achieving a desire/goal","3rd person","no","none","figure, skating, olympic",0.281429089263493,0.535991785156255,0.171157587454166,5.82444067335913,3.94580813424984,5.59657688779144,"excitement:0.11649986589327456, realization:0.07898658723570406, surprise:0.05355726322159171",2025,1,44.621985,285.519989,72063.10586,"synthetic",2025-01-01
