date,country_code,admin1,city,gender,type,impact,mood,theme,perspective,recurring,lucidity,keywords,sentiment_neg,sentiment_neu,sentiment_pos,valence_mean,arousal_mean,dominance_mean,emotions_top3
2025-03-10,CA,ON,Mississauga,Woman,standard,moderate,frustration,aquatic life,1st person,theme,none,"guppies, water, tank, filtration, duckweed",0.64009,0.33702,0.02289,5.966,4.077,5.54,"excitement:0.10979320481419565, surprise:0.08050541114062071, nervousness:0.06802029861137271"
2025-03-09,CA,ON,Mississauga,Woman,standard,low,annoyance,being silly,shifting,no,none,"nap, dust, ceiling, band-saw, dad",0.55162,0.41841,0.02997,5.692,3.998,5.556,"confusion:0.0931085692718625, nervousness:0.08801047364249825, realization:0.06128821801394224"
2025-03-09,CA,ON,Mississauga,Woman,standard,moderate,humorous,being at a movie or theater,shifting,theme,none,"movie, crowdwork, game, concert, intestines",0.28596,0.64369,0.07035,5.962,3.928,5.667,"confusion:0.10499624701009856, curiosity:0.06563366473548943, realization:0.06349574422670735"
2025-03-08,CA,ON,Mississauga,Woman,existential,high,loss,a living person being dead,1st person,no,partial,"sister, trampled, horse, balloons, crying",0.58525,0.3872,0.02755,5.503,4.006,5.211,"sadness:0.14972995105199516, grief:0.1175213037058711, remorse:0.06158484285697341"
2025-03-07,CA,ON,Mississauga,Woman,standard,low,annoyance,unsatisfying or negative social situation,1st person,no,none,"store, change, curtain, mirror, bullying",0.35524,0.53223,0.11253,5.709,3.99,5.683,"desire:0.06879213191568852, anger:0.06810109466314315, curiosity:0.06678875871002674"
2025-03-07,CA,ON,Mississauga,Woman,standard,low,annoyance,disappointed by friends or family,1st person,no,none,"exacto, knives, black, tea, caffeine",0.25441,0.67728,0.06831,5.763,4.117,5.711,"anger:0.09897410124540328, disapproval:0.09089817417164645, excitement:0.07474654850860436"
2025-02-19,CA,ON,Mississauga,Woman,positive,moderate,gratitude,being young again,1st person,no,none,"time, memories, texting, friend",0.06553,0.72654,0.20793,6.076,3.867,5.721,"confusion:0.14996755123138428, remorse:0.08811390399932861, realization:0.07768917828798294"
2025-02-03,CA,ON,Mississauga,Woman,standard,low,calmness,eating disgusting foods,1st person,no,none,"nose, bleeding, slathering, toast, butter",0.85111,0.12872,0.02018,5.409,3.726,5.33,"embarrassment:0.11971257627010344, nervousness:0.10047326236963272, disgust:0.0778600350022316"
2025-02-06,CA,ON,Mississauga,Woman,standard,low,triumph,performing incredible physical feats,1st person,no,partial,"crawling, church, drills, climbing, fast",0.33345,0.5856,0.08095,5.393,4.068,5.516,"caring:0.06963420550649364, realization:0.068031153952082, anger:0.06276171483720343"
2025-02-11,CA,ON,Mississauga,Woman,negative,moderate,confusion,unsatisfying or negative social situation,1st person,theme,none,"mall, grocery, members, sue, signatures",0.40296,0.51904,0.07799,5.573,3.873,5.719,"realization:0.08618225455284119, disapproval:0.08545323926955462, curiosity:0.0687556441873312"
